1440	-1672	15552	-202	-194	-294	-6.11038	-5.25994
-72	-8	17064	705	-67	-318	-0.0268614	0.241753
248	1500	14852	-726	-259	485	5.76632	-0.9518
-1500	1336	15912	990	619	76	4.77831	5.3665
-1440	-1740	15688	-639	-250	-74	-6.30269	5.21269
2152	636	17220	70	-662	-270	2.09888	-7.11857
652	-1484	15712	23	886	-493	-5.39097	-2.36572
-1364	1924	14224	247	-347	481	7.66857	5.42845
-1756	-988	16124	49	9	-381	-3.48586	6.20381
860	-192	17480	-49	-846	508	-0.62855	-2.81646
368	148	14772	235	867	-238	0.573847	-1.42699
-252	-548	15964	-498	-299	-334	-1.96579	0.903836
280	-600	17432	787	201	159	-1.97106	-0.919685
-352	-976	17700	-990	-1182	-84	-3.15554	1.13756
1032	1636	14344	491	940	304	6.4901	-4.08872
-1712	-528	13636	-162	-665	-159	-2.20019	7.15074
